id,airport_code,captured_at_local,taxis_in_holding,taxis_at_curb,active_lanes_json,lane_capacity_per_15m
3046,BKK,2025-10-01 11:15,199,43,"[61, 64, 66, 69]",52
3047,BKK,2025-10-01 11:30,206,41,"[63, 64, 66, 68]",32
3048,BKK,2025-10-01 11:45,199,48,"[61, 64, 69, 71]",24
3049,BKK,2025-10-01 12:00,175,40,"[60, 63, 67, 72]",44
3050,BKK,2025-10-01 12:15,140,34,"[68, 69, 70, 72]",32
3051,BKK,2025-10-01 12:30,204,57,"[61, 67, 68, 72]",44
3052,BKK,2025-10-01 12:45,129,35,"[61, 64, 70, 71]",32
3053,BKK,2025-10-01 13:00,170,47,"[62, 64, 70, 71, 72]",55
3054,BKK,2025-10-01 13:15,156,43,"[64, 66, 68, 71, 72]",35
3055,BKK,2025-10-01 13:30,182,43,"[60, 61, 65, 68, 71]",40
3056,BKK,2025-10-01 13:45,154,47,"[60, 63, 68, 70, 71]",50
3057,BKK,2025-10-01 14:00,118,28,"[69, 71]",10
3058,BKK,2025-10-01 14:15,100,33,"[67, 71]",12
3059,BKK,2025-10-01 14:30,95,34,"[63, 65]",10
3060,BKK,2025-10-01 14:45,102,30,"[62, 66]",12
3061,BKK,2025-10-01 15:00,168,48,"[62, 67, 72]",24
3062,BKK,2025-10-01 15:15,107,47,"[60, 69, 72]",30
3063,BKK,2025-10-01 15:30,173,23,"[61, 66, 72]",12
3064,BKK,2025-10-01 15:45,182,39,"[60, 63, 70]",24
3065,BKK,2025-10-01 16:00,216,50,"[62, 63, 64, 66, 67, 71]",54
3066,BKK,2025-10-01 16:15,184,51,"[60, 64, 65, 70, 71]",45
3067,BKK,2025-10-01 16:30,196,70,"[63, 65, 67, 68, 69, 70]",66
3068,BKK,2025-10-01 16:45,223,53,"[63, 65, 66, 67, 68, 70]",54
3069,BKK,2025-10-01 17:00,208,61,"[60, 65, 68, 71, 72]",40
3070,BKK,2025-10-01 17:15,215,87,"[61, 62, 64, 71, 72]",45
3071,BKK,2025-10-01 17:30,218,59,"[61, 62, 63, 65, 67]",35
3072,BKK,2025-10-01 17:45,205,46,"[60, 64, 65, 67, 72]",60
3073,BKK,2025-10-01 18:00,196,43,"[62, 67, 68, 71]",48
3074,BKK,2025-10-01 18:15,136,46,"[61, 66, 68]",36
3075,BKK,2025-10-01 18:30,158,48,"[62, 63, 67]",18
3076,BKK,2025-10-01 18:45,164,47,"[63, 64, 69, 70]",24
3077,BKK,2025-10-01 19:00,173,55,"[63, 66, 69, 72]",48
3078,BKK,2025-10-01 19:15,148,43,"[63, 64, 65, 67]",36
3079,BKK,2025-10-01 19:30,154,44,"[61, 64, 70, 71]",20
3080,BKK,2025-10-01 19:45,139,57,"[60, 65, 67, 70]",24
3081,BKK,2025-10-01 20:00,153,38,"[61, 65]",14
3082,BKK,2025-10-01 20:15,162,55,"[62, 63, 65]",27
3083,BKK,2025-10-01 20:30,163,41,"[67, 70, 71]",30
3084,BKK,2025-10-01 20:45,126,47,"[66, 70]",14
3085,BKK,2025-10-01 21:00,152,39,"[61, 65]",16
3086,BKK,2025-10-01 21:15,136,37,"[60, 66, 67]",30
3087,BKK,2025-10-01 21:30,154,43,"[60, 64, 67]",24
3088,BKK,2025-10-01 21:45,139,27,"[62, 70, 72]",12
3089,BKK,2025-10-01 22:00,168,36,"[61, 66, 67, 70]",24
3090,BKK,2025-10-01 22:15,161,60,"[60, 62, 63, 64, 70]",40
3091,BKK,2025-10-01 22:30,121,37,"[62, 63, 65, 70]",32
3092,BKK,2025-10-01 22:45,193,50,"[63, 65, 66, 72]",20
3093,BKK,2025-10-01 23:00,265,74,"[61, 64, 65, 68, 70, 71]",42
3094,BKK,2025-10-01 23:15,224,86,"[60, 61, 63, 65, 68, 69]",42
3095,BKK,2025-10-01 23:30,273,72,"[61, 62, 65, 66, 67, 68, 69]",42
3096,BKK,2025-10-01 23:45,244,72,"[60, 61, 63, 64, 65, 69, 71]",91
3097,BKK,2025-10-02 00:00,162,47,"[60, 61, 67, 68, 69]",30
3098,BKK,2025-10-02 00:15,176,40,"[62, 64, 65, 66, 71]",25
3099,BKK,2025-10-02 00:30,153,42,"[64, 65, 67, 69, 70]",20
3100,BKK,2025-10-02 00:45,168,56,"[61, 63, 64, 68, 71]",35
3101,BKK,2025-10-02 01:00,159,36,"[61, 62, 63, 65, 69]",35
3102,BKK,2025-10-02 01:15,162,50,"[61, 65, 67, 68, 70]",25
3103,BKK,2025-10-02 01:30,120,40,"[62, 64, 70, 71, 72]",20
3104,BKK,2025-10-02 01:45,155,57,"[61, 62, 66, 67, 68]",25
3105,BKK,2025-10-02 02:00,109,36,"[67, 69]",12
3106,BKK,2025-10-02 02:15,116,25,"[62, 67]",12
3107,BKK,2025-10-02 02:30,106,29,"[60, 71]",12
3108,BKK,2025-10-02 02:45,102,20,"[61, 65]",8
3109,BKK,2025-10-02 03:00,87,35,"[67, 71]",8
3110,BKK,2025-10-02 03:15,81,26,"[65, 66]",10
3111,BKK,2025-10-02 03:30,84,20,"[61, 68]",8
3112,BKK,2025-10-02 03:45,80,20,"[64, 67]",8
3113,BKK,2025-10-02 04:00,113,27,"[63, 64, 69]",24
3114,BKK,2025-10-02 04:15,108,22,"[60, 63, 70]",15
3115,BKK,2025-10-02 04:30,91,34,"[61, 62, 66]",24
3116,BKK,2025-10-02 04:45,88,30,"[61, 63, 67]",12
3117,BKK,2025-10-02 05:00,152,51,"[60, 61, 63, 64]",28
3118,BKK,2025-10-02 05:15,134,40,"[63, 65, 71]",15
3119,BKK,2025-10-02 05:30,128,32,"[62, 64, 66]",18
3120,BKK,2025-10-02 05:45,147,31,"[64, 68, 72]",18
3121,BKK,2025-10-02 06:00,226,71,"[61, 62, 64, 65, 67, 68, 71]",49
3122,BKK,2025-10-02 06:15,185,57,,42
3123,BKK,2025-10-02 06:30,230,50,"[60, 61, 64, 66, 67, 68, 72]",56
3124,BKK,2025-10-02 06:45,195,57,"[60, 62, 64, 66, 68, 72]",30
3125,BKK,2025-10-02 07:00,292,62,"[60, 62, 64, 69, 71, 72]",48
3126,BKK,2025-10-02 07:15,274,54,"[60, 62, 64, 66, 68, 70, 72]",56
3127,BKK,2025-10-02 07:30,228,56,"[61, 62, 63, 64, 68, 71, 72]",49
3128,BKK,2025-10-02 07:45,214,53,"[60, 64, 65, 66, 68, 70, 71]",63
3129,BKK,2025-10-02 08:00,178,44,"[62, 65, 70, 72]",36
3130,BKK,2025-10-02 08:15,135,52,"[67, 68, 71]",27
3131,BKK,2025-10-02 08:30,142,56,"[62, 65, 71]",24
3132,BKK,2025-10-02 08:45,170,33,"[65, 66, 69, 70]",28
3133,BKK,2025-10-02 09:00,217,56,"[62, 66, 67, 70]",32
3134,BKK,2025-10-02 09:15,166,52,"[66, 68, 69]",21
3135,BKK,2025-10-02 09:30,208,40,"[63, 64, 68, 70]",36
3136,BKK,2025-10-02 09:45,170,60,"[61, 65, 69, 70]",28
3137,BKK,2025-10-02 10:00,126,44,"[62, 63, 71, 72]",28
3138,BKK,2025-10-02 10:15,161,49,"[61, 69, 70, 72]",48
3139,BKK,2025-10-02 10:30,168,47,"[61, 62, 64, 67]",36
3140,BKK,2025-10-02 10:45,161,57,"[60, 62, 67, 71]",24
3141,BKK,2025-10-02 11:00,204,39,"[63, 67, 68, 70]",44
3142,BKK,2025-10-02 11:15,133,48,"[61, 64, 67, 70]",28
3143,BKK,2025-10-02 11:30,175,52,"[61, 66, 68, 70]",32
3144,BKK,2025-10-02 11:45,185,45,"[60, 63, 67, 72]",48
3145,BKK,2025-10-02 12:00,200,56,"[61, 68, 69, 72]",36
3146,BKK,2025-10-02 12:15,140,54,"[61, 65, 66, 70]",24
3147,BKK,2025-10-02 12:30,119,34,"[61, 62, 66, 70]",32
3148,BKK,2025-10-02 12:45,180,46,"[61, 63, 65, 68]",20
3149,BKK,2025-10-02 13:00,170,61,"[62, 65, 66, 69]",40
3150,BKK,2025-10-02 13:15,161,41,"[66, 69, 71]",12
3151,BKK,2025-10-02 13:30,190,50,"[60, 63, 70]",27
3152,BKK,2025-10-02 13:45,186,37,"[60, 71, 72]",27
3153,BKK,2025-10-02 14:00,127,33,"[61, 67, 71]",12
3154,BKK,2025-10-02 14:15,126,38,"[65, 71, 72]",15
3155,BKK,2025-10-02 14:30,163,39,"[60, 69, 71]",15
3156,BKK,2025-10-02 14:45,116,26,"[62, 66, 68]",18
3157,BKK,2025-10-02 15:00,181,53,"[66, 67, 68, 69, 70]",40
3158,BKK,2025-10-02 15:15,189,45,"[60, 61, 68, 71, 72]",35
3159,BKK,2025-10-02 15:30,153,56,"[64, 65, 68, 69, 70]",50
3160,BKK,2025-10-02 15:45,215,46,"[63, 67, 68, 69, 70]",40
3161,BKK,2025-10-02 16:00,221,52,"[63, 65, 67, 69, 70]",55
3162,BKK,2025-10-02 16:15,191,63,"[61, 63, 65, 67, 72]",50
3163,BKK,2025-10-02 16:30,197,43,"[60, 64, 69, 70, 72]",40
3164,BKK,2025-10-02 16:45,151,41,"[62, 64, 65, 68, 71]",40
3165,BKK,2025-10-02 17:00,216,52,"[65, 68, 70, 71]",44
3166,BKK,2025-10-02 17:15,160,48,"[61, 64, 67, 71]",24
3167,BKK,2025-10-02 17:30,202,53,"[61, 63, 68, 72]",36
3168,BKK,2025-10-02 17:45,138,44,"[63, 65, 71, 72]",36
3169,BKK,2025-10-02 18:00,142,37,"[62, 65, 66, 72]",32
3170,BKK,2025-10-02 18:15,167,33,"[60, 61, 62, 64]",32
3171,BKK,2025-10-02 18:30,169,46,"[60, 62, 68, 72]",36
3172,BKK,2025-10-02 18:45,197,50,"[60, 64, 66, 72]",32
3173,BKK,2025-10-02 19:00,158,39,"[63, 67, 68, 69]",24
3174,BKK,2025-10-02 19:15,137,56,"[61, 65, 66, 68]",24
3175,BKK,2025-10-02 19:30,121,48,"[67, 68, 69, 70]",28
3176,BKK,2025-10-02 19:45,160,34,"[61, 62, 63, 68]",32
3177,BKK,2025-10-02 20:00,123,38,"[60, 66, 69]",18
3178,BKK,2025-10-02 20:15,102,50,,18
3179,BKK,2025-10-02 20:30,123,30,"[69, 70, 72]",27
3180,BKK,2025-10-02 20:45,97,45,"[60, 67, 70]",21
3181,BKK,2025-10-02 21:00,165,53,"[62, 63, 64, 65]",32
3182,BKK,2025-10-02 21:15,151,66,"[62, 63, 64, 67]",32
3183,BKK,2025-10-02 21:30,125,42,"[63, 68, 70]",15
3184,BKK,2025-10-02 21:45,139,45,"[60, 62, 67, 72]",48
3185,BKK,2025-10-02 22:00,203,37,"[61, 65, 66, 70]",40
3186,BKK,2025-10-02 22:15,139,42,"[60, 62, 65, 71]",24
3187,BKK,2025-10-02 22:30,149,37,"[68, 70, 71, 72]",28
3188,BKK,2025-10-02 22:45,159,39,"[60, 65, 67, 69]",24
3189,BKK,2025-10-02 23:00,283,78,"[60, 64, 65, 66, 70, 71, 72]",84
3190,BKK,2025-10-02 23:15,244,77,"[60, 64, 66, 68, 70, 71, 72]",49
3191,BKK,2025-10-02 23:30,220,48,"[61, 63, 64, 65, 67, 69, 70]",63
3192,BKK,2025-10-02 23:45,265,73,"[65, 66, 68, 69, 70, 71]",60
3193,BKK,2025-10-03 00:00,166,43,"[62, 63, 68, 69, 71]",25
3194,BKK,2025-10-03 00:15,145,30,"[64, 66, 67, 68, 72]",20
3195,BKK,2025-10-03 00:30,132,26,"[64, 65, 66, 69, 71]",30
3196,BKK,2025-10-03 00:45,170,54,"[62, 63, 65, 70, 72]",20
3197,BKK,2025-10-03 01:00,158,39,"[62, 63, 64, 66, 67]",25
3198,BKK,2025-10-03 01:15,177,37,"[61, 64, 66, 68, 69]",20
3199,BKK,2025-10-03 01:30,156,41,"[62, 64, 65, 69, 72]",25
3200,BKK,2025-10-03 01:45,187,41,"[63, 65, 66, 69, 72]",30
3201,BKK,2025-10-03 02:00,84,19,"[66, 72]",8
3202,BKK,2025-10-03 02:15,107,32,"[63, 71]",8
3203,BKK,2025-10-03 02:30,88,24,"[63, 67]",8
3204,BKK,2025-10-03 02:45,72,26,"[64, 71]",8
3205,BKK,2025-10-03 03:00,102,26,"[68, 72]",16
3206,BKK,2025-10-03 03:15,82,15,"[65, 67]",10
3207,BKK,2025-10-03 03:30,112,21,"[67, 71]",10
3208,BKK,2025-10-03 03:45,110,22,"[68, 70]",8
3209,BKK,2025-10-03 04:00,98,28,"[67, 70]",8
3210,BKK,2025-10-03 04:15,62,21,"[67, 69]",12
3211,BKK,2025-10-03 04:30,100,23,"[60, 70]",10
3212,BKK,2025-10-03 04:45,111,18,"[62, 63]",8
3213,BKK,2025-10-03 05:00,125,30,"[63, 64, 65]",12
3214,BKK,2025-10-03 05:15,184,43,"[65, 66, 69, 72]",20
3215,BKK,2025-10-03 05:30,129,28,"[64, 67, 68]",12
3216,BKK,2025-10-03 05:45,152,31,"[64, 65, 72]",12
3217,BKK,2025-10-03 06:00,228,60,"[60, 62, 63, 64, 67, 71]",60
3218,BKK,2025-10-03 06:15,206,61,"[62, 67, 68, 70, 71]",30
3219,BKK,2025-10-03 06:30,206,54,"[60, 61, 62, 64, 65, 69]",54
3220,BKK,2025-10-03 06:45,220,52,"[60, 64, 65, 68, 70, 71]",30
3221,BKK,2025-10-03 07:00,219,66,"[64, 65, 67, 68, 70, 71, 72]",56
3222,BKK,2025-10-03 07:15,275,44,"[60, 62, 63, 66, 67, 68, 71]",42
3223,BKK,2025-10-03 07:30,286,69,"[60, 61, 65, 66, 67, 70, 71]",49
3224,BKK,2025-10-03 07:45,240,71,"[60, 61, 63, 66, 67, 70, 71]",49
3225,BKK,2025-10-03 08:00,191,51,"[60, 64, 67, 70]",20
3226,BKK,2025-10-03 08:15,163,44,"[61, 67, 69, 70]",36
3227,BKK,2025-10-03 08:30,194,53,"[62, 65, 67, 71]",44
3228,BKK,2025-10-03 08:45,214,58,"[61, 62, 63, 69]",28
3229,BKK,2025-10-03 09:00,140,55,"[61, 63, 65, 67, 69, 70]",60
3230,BKK,2025-10-03 09:15,188,49,"[60, 61, 62, 65, 72]",35
3231,BKK,2025-10-03 09:30,194,53,"[60, 62, 63, 64, 72]",50
3232,BKK,2025-10-03 09:45,148,46,"[60, 61, 63, 65, 66, 72]",60
3233,BKK,2025-10-03 10:00,255,41,"[63, 69, 70]",30
3234,BKK,2025-10-03 10:15,167,39,"[63, 68, 70]",21
3235,BKK,2025-10-03 10:30,190,40,"[62, 71, 72]",39
3236,BKK,2025-10-03 10:45,133,47,"[60, 61, 72]",27
3237,BKK,2025-10-03 11:00,167,46,"[65, 66, 67, 69]",40
3238,BKK,2025-10-03 11:15,140,54,"[62, 67, 68, 72]",32
3239,BKK,2025-10-03 11:30,134,53,"[61, 66, 68, 72]",36
3240,BKK,2025-10-03 11:45,173,38,"[60, 63, 69, 71]",28
3241,BKK,2025-10-03 12:00,226,49,"[61, 64, 67, 68, 72]",40
3242,BKK,2025-10-03 12:15,237,47,"[62, 63, 64, 66, 67]",35
3243,BKK,2025-10-03 12:30,206,54,"[61, 65, 67, 68, 70]",50
3244,BKK,2025-10-03 12:45,206,76,"[60, 63, 64, 65, 69]",45
3245,BKK,2025-10-03 13:00,218,39,"[67, 68, 70]",27
3246,BKK,2025-10-03 13:15,176,55,"[69, 70, 72]",27
3247,BKK,2025-10-03 13:30,157,44,"[61, 62, 70]",30
3248,BKK,2025-10-03 13:45,140,33,"[60, 69, 70]",30
3249,BKK,2025-10-03 14:00,185,48,"[65, 68, 70, 72]",24
3250,BKK,2025-10-03 14:15,143,40,"[61, 63, 64, 70]",20
3251,BKK,2025-10-03 14:30,211,43,"[65, 69, 71, 72]",24
3252,BKK,2025-10-03 14:45,160,42,"[62, 64, 67, 70]",40
3253,BKK,2025-10-03 15:00,185,42,"[61, 63, 66, 68]",44
3254,BKK,2025-10-03 15:15,181,39,"[60, 61, 63, 69]",36
3255,BKK,2025-10-03 15:30,166,44,"[60, 65, 66, 71]",20
3256,BKK,2025-10-03 15:45,153,49,"[61, 62, 68, 72]",40
3257,BKK,2025-10-03 16:00,220,60,"[61, 63, 64, 68]",48
3258,BKK,2025-10-03 16:15,182,65,"[61, 62, 63, 64, 69]",40
3259,BKK,2025-10-03 16:30,139,49,"[60, 62, 68, 69]",40
3260,BKK,2025-10-03 16:45,185,34,"[60, 63, 64, 69, 71]",25
3261,BKK,2025-10-03 17:00,166,41,"[61, 67, 71]",30
3262,BKK,2025-10-03 17:15,191,59,"[64, 66, 67]",21
3263,BKK,2025-10-03 17:30,151,61,"[62, 66, 72]",27
3264,BKK,2025-10-03 17:45,177,48,"[64, 67, 69]",18
3265,BKK,2025-10-03 18:00,168,60,"[62, 63, 65, 67, 69]",30
3266,BKK,2025-10-03 18:15,140,53,"[61, 63, 64, 69, 71]",45
3267,BKK,2025-10-03 18:30,197,62,"[62, 64, 69, 70, 72]",45
3268,BKK,2025-10-03 18:45,181,41,"[64, 67, 69, 71, 72]",35
3269,BKK,2025-10-03 19:00,161,55,"[60, 61, 65, 71]",32
3270,BKK,2025-10-03 19:15,184,58,"[60, 61, 67, 68]",16
3271,BKK,2025-10-03 19:30,221,48,"[64, 66, 69, 71]",32
3272,BKK,2025-10-03 19:45,171,49,"[63, 65, 66, 69]",40
3273,BKK,2025-10-03 20:00,111,40,"[62, 66, 67]",27
3274,BKK,2025-10-03 20:15,119,54,"[62, 67, 70]",24
3275,BKK,2025-10-03 20:30,149,45,"[62, 70, 71]",15
3276,BKK,2025-10-03 20:45,150,39,"[64, 67, 68]",27
3277,BKK,2025-10-03 21:00,130,20,"[66, 69, 70]",18
3278,BKK,2025-10-03 21:15,161,32,"[62, 71]",12
3279,BKK,2025-10-03 21:30,89,45,"[63, 67]",14
3280,BKK,2025-10-03 21:45,153,44,"[61, 62, 69]",27
3281,BKK,2025-10-03 22:00,177,48,"[62, 65, 69, 71]",32
3282,BKK,2025-10-03 22:15,170,51,"[63, 70, 71, 72]",24
3283,BKK,2025-10-03 22:30,149,47,"[67, 68, 71, 72]",16
3284,BKK,2025-10-03 22:45,178,52,"[63, 65, 67, 71]",28
3285,BKK,2025-10-03 23:00,275,59,"[61, 63, 64, 65, 67, 70, 72]",49
3286,BKK,2025-10-03 23:15,253,74,"[60, 61, 64, 65, 68, 70, 71, 72]",72
3287,BKK,2025-10-03 23:30,264,94,"[61, 62, 65, 66, 67, 70, 71, 72]",72
3288,BKK,2025-10-03 23:45,234,73,"[61, 65, 66, 67, 68, 71, 72]",70
3289,BKK,2025-10-04 00:00,174,46,"[61, 64, 67, 68, 69]",20
3290,BKK,2025-10-04 00:15,160,34,"[65, 68, 69, 70, 71]",20
3291,BKK,2025-10-04 00:30,154,47,"[62, 63, 64, 66, 72]",40
3292,BKK,2025-10-04 00:45,154,43,"[63, 65, 66, 67, 69]",25
3293,BKK,2025-10-04 01:00,161,33,"[60, 62, 65, 66]",28
3294,BKK,2025-10-04 01:15,162,42,"[62, 65, 67, 69]",24
3295,BKK,2025-10-04 01:30,169,44,"[61, 69, 70, 72]",20
3296,BKK,2025-10-04 01:45,140,34,"[60, 61, 67, 72]",24
3297,BKK,2025-10-04 02:00,89,28,"[63, 68, 69]",12
3298,BKK,2025-10-04 02:15,82,23,"[60, 63, 64]",12
3299,BKK,2025-10-04 02:30,103,24,"[62, 64, 70]",24
3300,BKK,2025-10-04 02:45,128,32,"[64, 65, 71]",12
3301,BKK,2025-10-04 03:00,74,24,"[66, 71]",8
3302,BKK,2025-10-04 03:15,88,23,"[61, 69]",8
3303,BKK,2025-10-04 03:30,73,16,"[63, 64]",14
3304,BKK,2025-10-04 03:45,98,23,"[69, 71]",8
3305,BKK,2025-10-04 04:00,67,23,"[60, 68]",8
3306,BKK,2025-10-04 04:15,75,23,,12
3307,BKK,2025-10-04 04:30,87,31,"[60, 62]",10
3308,BKK,2025-10-04 04:45,74,31,"[63, 68]",8
3309,BKK,2025-10-04 05:00,221,57,"[61, 62, 64, 65, 70]",40
3310,BKK,2025-10-04 05:15,171,51,"[63, 64, 65, 68, 70]",25
3311,BKK,2025-10-04 05:30,155,39,"[63, 64, 66, 67, 68]",20
3312,BKK,2025-10-04 05:45,241,52,"[61, 64, 67, 68, 72]",20
3313,BKK,2025-10-04 06:00,217,56,"[60, 61, 64, 69, 70, 71]",30
3314,BKK,2025-10-04 06:15,179,41,"[61, 64, 66, 67, 70]",20
3315,BKK,2025-10-04 06:30,239,55,"[61, 62, 67, 69, 70, 71]",48
3316,BKK,2025-10-04 06:45,215,51,"[64, 66, 70, 71, 72]",35
3317,BKK,2025-10-04 07:00,214,58,"[64, 67, 69, 70, 72]",25
3318,BKK,2025-10-04 07:15,186,47,"[60, 61, 62, 66, 71]",45
3319,BKK,2025-10-04 07:30,233,53,"[63, 66, 67, 68, 70]",55
3320,BKK,2025-10-04 07:45,191,60,"[62, 64, 65, 69, 71]",50
3321,BKK,2025-10-04 08:00,226,52,"[60, 65, 66, 68, 72]",40
3322,BKK,2025-10-04 08:15,245,54,"[63, 65, 67, 70, 71]",30
3323,BKK,2025-10-04 08:30,227,64,,45
3324,BKK,2025-10-04 08:45,234,58,"[63, 66, 67, 69, 70]",55
3325,BKK,2025-10-04 09:00,188,44,"[61, 62, 64, 68]",44
3326,BKK,2025-10-04 09:15,169,62,"[63, 65, 69, 72]",44
3327,BKK,2025-10-04 09:30,186,58,"[62, 68, 70, 72]",32
3328,BKK,2025-10-04 09:45,193,31,"[61, 62, 66, 67]",40
3329,BKK,2025-10-04 10:00,219,57,"[63, 64, 67, 70, 72]",35
3330,BKK,2025-10-04 10:15,194,47,"[61, 64, 67, 69, 70, 72]",48
3331,BKK,2025-10-04 10:30,187,73,"[64, 66, 67, 68, 69, 71]",54
3332,BKK,2025-10-04 10:45,212,56,"[62, 66, 67, 68, 70, 72]",54
3333,BKK,2025-10-04 11:00,198,42,"[60, 62, 65, 71]",44
3334,BKK,2025-10-04 11:15,181,49,"[61, 63, 64, 69]",48
3335,BKK,2025-10-04 11:30,171,40,"[60, 61, 66, 70]",28
3336,BKK,2025-10-04 11:45,201,33,"[60, 63, 64, 65]",32
3337,BKK,2025-10-04 12:00,175,49,"[68, 69, 70, 71]",44
3338,BKK,2025-10-04 12:15,171,39,"[60, 62, 64, 66]",36
3339,BKK,2025-10-04 12:30,162,54,"[64, 66, 68, 69]",28
3340,BKK,2025-10-04 12:45,155,59,"[64, 65, 66, 70]",28
3341,BKK,2025-10-04 13:00,196,39,"[62, 64, 70, 72]",36
3342,BKK,2025-10-04 13:15,181,50,"[64, 68, 69, 70]",24
3343,BKK,2025-10-04 13:30,195,62,"[60, 64, 67, 68]",40
3344,BKK,2025-10-04 13:45,143,53,"[65, 66, 67, 69]",40
3345,BKK,2025-10-04 14:00,121,50,"[64, 70, 72]",15
3346,BKK,2025-10-04 14:15,125,24,"[64, 65, 67]",12
3347,BKK,2025-10-04 14:30,133,31,"[63, 65, 72]",21
3348,BKK,2025-10-04 14:45,145,32,"[62, 64, 65]",18
3349,BKK,2025-10-04 15:00,122,43,"[63, 69, 71]",18
3350,BKK,2025-10-04 15:15,145,32,"[60, 63, 69]",21
3351,BKK,2025-10-04 15:30,173,28,"[61, 69, 72]",21
3352,BKK,2025-10-04 15:45,118,45,"[62, 66, 68]",18
3353,BKK,2025-10-04 16:00,190,54,"[61, 62, 63, 68, 70]",55
3354,BKK,2025-10-04 16:15,199,63,"[60, 64, 65, 71, 72]",55
3355,BKK,2025-10-04 16:30,237,55,"[61, 63, 66, 67, 69]",40
3356,BKK,2025-10-04 16:45,211,51,"[60, 62, 63, 64, 71]",40
3357,BKK,2025-10-04 17:00,193,54,"[62, 64, 65, 67]",28
3358,BKK,2025-10-04 17:15,195,46,"[64, 65, 66, 68, 69]",55
3359,BKK,2025-10-04 17:30,191,76,"[62, 65, 66, 69, 72]",55
3360,BKK,2025-10-04 17:45,191,61,"[63, 64, 65, 69, 71]",45
3361,BKK,2025-10-04 18:00,200,54,"[64, 68, 69, 70, 71]",40
3362,BKK,2025-10-04 18:15,171,42,"[60, 62, 65, 67, 69]",45
3363,BKK,2025-10-04 18:30,237,68,"[60, 62, 65, 67, 69, 72]",36
